과목명,학년,구분,개설학과,시수,과목코드,교수,시간
반박과논쟁,3,전공(심화),자유전공학부 공공안전학,3/3/0,1381-3032,박준용,화13:00~15:00(다2352)| 수11:00~12:00(다2343)
형사소송법,3,전공(심화),자유전공학부 공공안전학,3/3/0,1384-3002,정소영,화17:00~18:00(다2358)| 수14:00~16:00(다2358)
미래설계상담7,4,전공(기초),자유전공학부 공공안전학,0/0/0,1380-4001,서영식,
소송과강제집행,4,전공(심화),자유전공학부 공공안전학,3/3/0,1384-4003,유일현,목13:00~16:00(다2358)
형사종합사례연습,4,전공(심화),자유전공학부 공공안전학,3/3/0,1384-4008,정소영,화15:00~17:00(다2358)| 수13:00~14:00(다2358)
6.25 전쟁사,1,,충남대학교 국가안보융합학부,3/3/0,1390-7001,임문균,화10:30~12:00(교204A)| 목09:00~10:30(교204A)
국가안보론,1,,충남대학교 국가안보융합학부,3/3/0,1390-7002,임문균,화12:00~13:30(교204A)| 목10:30~12:00(교204A)
미래설계상담1,1,전공(기초),국가안보융합학부 국토안보학,0/0/0,1390-1001,길병옥,
국가안보론,1,전공(기초),국가안보융합학부 국토안보학,3/3/0,1394-1001,길병옥,월12:00~13:00(전산1106)| 목13:00~15:00(전산1106)
6·25전쟁사,1,전공(기초),국가안보융합학부 국토안보학,3/3/0,1394-1002,임문균,화15:00~16:30(자2119)| 목16:30~18:00(자2119)
군사체육1,1,전공(핵심),국가안보융합학부 국토안보학,2/0/4,1394-1006,최정수,월08:00~10:00(종합운동장)| 금10:00~12:00(종합운동장)
대학생활과 진로설계,1,교양(공통기초),국가안보융합학부 국토안보학,1/1/0,1394-7001,곽대훈,수17:00~18:00(자2118)
미래설계상담3,2,전공(기초),국가안보융합학부 국토안보학,0/0/0,1390-2001,곽대훈,
군사학방법론,2,전공(기초),국가안보융합학부 국토안보학,3/3/0,1394-2006,곽대훈,월15:00~16:30(자2118)| 수13:30~15:00(자2118)
국가위기관리론,2,전공(심화),국가안보융합학부 국토안보학,3/3/0,1394-2009,최정수,화15:00~16:30(자2118)| 금13:30~15:00(자2118)
군사법규,2,전공(심화),국가안보융합학부 국토안보학,3/3/0,1394-2010,도중진,화13:30~15:00(자2118)| 목13:30~15:00(자2118)
군사체육2,2,전공(핵심),국가안보융합학부 국토안보학,1/0/2,1394-2012,최정수,월10:00~12:00(북부운동장)
군리더십론,2,전공(핵심),국가안보융합학부 국토안보학,3/3/0,1394-2014,전기석,월16:30~18:00(자2118)| 수15:00~16:30(자2118)
미래설계상담5,3,전공(기초),국가안보융합학부 국토안보학,0/0/0,1390-3001,전기석,
군사영어,3,전공(핵심),국가안보융합학부 국토안보학,3/3/0,1394-3001,전기석,화13:30~15:00(자2113)| 목10:30~12:00(자2113)
무기체계,3,전공(핵심),국가안보융합학부 국토안보학,3/3/0,1394-3004,김종서,수13:30~15:00(자2113)| 금13:30~15:00(자2113)
군상담심리,3,전공(심화),국가안보융합학부 국토안보학,3/3/0,1394-3007,최정수,수15:00~16:30(자2113)| 금15:00~16:30(자2113)
관리과학,3,전공(심화),국가안보융합학부 국토안보학,3/3/0,1394-3009,설현주,화15:00~16:30(자2113)| 목13:30~15:00(자2113)
현대전략론,4,전공(심화),국가안보융합학부 국토안보학,3/3/0,1394-4005,최정수,월16:30~18:00(자2114)| 수13:30~15:00(자2114)
국방조직론,4,전공(심화),국가안보융합학부 국토안보학,3/3/0,1394-4007,김종서,수10:30~12:00(자2114)| 금10:30~12:00(자2114)
미래설계상담1,1,전공(기초),국가안보융합학부 해양안보학,0/0/0,1380-1001,길병옥,
국가안보론,1,전공(기초),국가안보융합학부 해양안보학,3/3/0,1391-1001,길병옥,화13:00~15:00(전산1101)| 목12:00~13:00(전산1101)
군사학개론,1,전공(기초),국가안보융합학부 해양안보학,3/3/0,1391-1002,권세원,월13:30~15:00(전산1101)| 수13:30~15:00(전산1101)
해양체육1,1,전공(핵심),국가안보융합학부 해양안보학,2/0/4,1391-1006,함태호,월16:00~18:00(종합운동장)| 목13:00~15:00(종합운동장)
대학생활과 진로설계,1,교양(공통기초),국가안보융합학부 해양안보학,1/1/0,1391-7001,설현주,목17:00~18:00(자2118)
미래설계상담3,2,전공(기초),국가안보융합학부 해양안보학,0/0/0,1380-2001,함태호,
군사혁신론,2,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-2003,김장현,화10:30~12:00(자2115)| 금10:30~12:00(자2115)
군사전략론,2,전공(핵심),국가안보융합학부 해양안보학,3/3/0,1391-2007,김승일,화13:30~15:00(자2115)| 목13:30~15:00(자2115)
충무공과 해군인물,2,전공(기초),국가안보융합학부 해양안보학,3/3/0,1391-2010,권세원,월10:30~12:00(전산1101)| 수10:30~12:00(전산1101)
군사사,2,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-2011,김장현,수13:30~15:00(자2115)| 금13:30~15:00(자2115)
해양체육2,2,전공(핵심),국가안보융합학부 해양안보학,1/0/2,1391-2015,함태호,목16:00~18:00(종합운동장)
군사통계,2,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-2016,설현주,월15:00~16:30(자2115)| 수15:00~16:30(자2115)
미래설계상담5,3,전공(기초),국가안보융합학부 해양안보학,0/0/0,1380-3001,김승일,
선박조종론,3,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-3004,함태호,수10:30~12:00(전산1106)| 금10:30~12:00(전산1106)
세계전쟁사,3,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-3005,권세원,화10:30~12:00(전산1106)| 목10:30~12:00(전산1106)
국제해양분쟁,3,전공(핵심),국가안보융합학부 해양안보학,3/3/0,1391-3006,함태호,수13:30~15:00(전산1106)| 금13:30~15:00(전산1106)
군사영어,3,전공(핵심),국가안보융합학부 해양안보학,3/3/0,1391-3007,김장현,화13:30~15:00(자2114)| 목13:30~15:00(자2114)
미래설계상담7,4,전공(기초),국가안보융합학부 해양안보학,0/0/0,1390-4003,설현주,
안보와경제발전,4,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-4001,김승일,월16:30~18:00(자2115)| 수16:30~18:00(자2115)
함정공학,4,전공(심화),국가안보융합학부 해양안보학,3/3/0,1391-4007,김승일,월15:00~16:30(자2114)| 수15:00~16:30(자2114)
미래설계상담1,1,전공(기초),국제학부 국제학부,0/0/0,1180-1003,강성우,
글로벌 경영,1,전공(기초),국제학부 국제학부,3/3/0,1184-1001,김윤,월13:00~14:30(교111)| 금14:00~15:30(교111)
경제학입문,1,전공(기초),국제학부 국제학부,3/3/0,1184-1002,이이림,월14:30~16:00(교111)| 금15:30~17:00(교111)
정치학개론,1,전공(기초),국제학부 국제학부,3/3/0,1184-2009,이효빈,수13:00~15:00(교111)| 목10:00~11:00(교111)
한국어 읽기1,1,전공(기초),국제학부 국제학부,3/3/0,1403-1001,김정인,수15:00~16:00(교303B)| 목13:00~15:00(교303B)
한국어 말하기1,1,전공(기초),국제학부 국제학부,3/3/0,1403-1002,송미영,화11:00~12:00(교303B)| 목11:00~13:00(교303B)
K-Culture로 만나는 한국 한국인1,1,전공(기초),국제학부 국제학부,3/3/0,1403-1003,신다슬,월10:00~12:00(교303B)| 수14:00~15:00(교303B)
미래설계상담3,2,전공(기초),국제학부 국제학부 국제학,0/0/0,1180-2003,강성우,
무역실무,2,전공(핵심),국제학부 국제학부 국제학,3/3/0,1183-2001,강지훈,화14:00~15:00(경N105)| 수14:00~16:00(경N317)
비즈니스중국어Ⅰ,2,전공(핵심),국제학부 국제학부 국제학,3/3/0,1184-2001,이이림,수10:00~12:00(교210)| 목13:00~14:00(교210)
미시경제학이해,2,전공(핵심),국제학부 국제학부 국제학,3/3/0,1184-2005,브느트스카마르타,목11:00~12:00(교306)| 금11:00~13:00(교306)
국제정치경제,2,전공(핵심),국제학부 국제학부 국제학,3/3/0,1402-2002,강성우,화10:00~12:00(경N104)| 금10:00~11:00(경N104)
미래설계상담5,3,전공(기초),국제학부 국제학부 국제학,0/0/0,1180-3003,강성우,
국제금융이해,3,전공(심화),국제학부 국제학부 국제학,3/3/0,1184-3008,브느트스카마르타,화10:00~12:00(경N314)| 금10:00~11:00(경N314)
현대중국의 이해,3,전공(핵심),국제학부 국제학부 국제학,3/3/0,1402-3001,김지운,화15:00~16:30(경N314)| 목15:00~16:30(경N314)
남북관계와 통일,3,전공(심화),국제학부 국제학부 국제학,3/3/0,1402-3009,이효빈,수10:00~12:00(교111)| 목11:00~12:00(교111)
미래설계상담3,2,전공(기초),국제학부 국제학부 한국문화학,0/0/0,1180-2003,강성우,
한국어 읽기2,2,전공(기초),국제학부 국제학부 한국문화학,3/3/0,1403-1004,유세진,월14:00~15:00(교303A)| 목16:00~18:00(교303A)
한국어 말하기2,2,전공(기초),국제학부 국제학부 한국문화학,3/3/0,1403-1005,김덕신,화12:00~14:00(교303A)| 목10:00~11:00(교303A)
K-Culture로 만나는 한국 한국인2,2,전공(기초),국제학부 국제학부 한국문화학,3/3/0,1403-1006,윤석진,월10:00~12:00(교303A)| 화16:00~17:00(교303A)
한국문화사,2,전공(핵심),국제학부 국제학부 한국문화학,3/3/0,1403-2012,강성우,목13:00~15:00(교303A)| 금11:00~12:00(교303A)
미래설계상담5,3,전공(기초),국제학부 국제학부 한국문화학,0/0/0,1180-3003,강성우,
한국사회론,3,전공(핵심),국제학부 국제학부 한국문화학,3/3/0,1403-3004,강성우,화13:00~15:00(교302B)| 목10:00~11:00(교302B)
K-소비트렌드,3,전공(심화),국제학부 국제학부 한국문화학,3/3/0,1403-3005,이화옥,수12:00~15:00(교302B)
인물로 보는 한국의 철학,3,전공(심화),국제학부 국제학부 한국문화학,3/3/0,1403-3006,이영자,금13:00~16:00(교302B)
창업의이해,2,전공(기초),연계대학 연계전공학과 미래기술창업학,3/2/2,1524-2001,안기돈,월15:00~17:00(경S345)| 월17:00~19:00(경S345)
창업실습Ⅰ,3,전공(기초),연계대학 연계전공학과 미래기술창업학,2/0/4,1215-2005,양선,
창업연계캡스톤디자인,3,,연계대학 연계전공학과 미래기술창업학,3/2/2,1524-3002,김완재,월14:00~16:00(마루빌(인재개발원3층))| 월16:00~18:00(마루빌(인재개발원3층))
창업현장실습,4,전공(심화),연계대학 연계전공학과 미래기술창업학,15/0/32,1524-4001,이영우,
창업마케팅,4,,연계대학 연계전공학과 미래기술창업학,3/2/2,1524-4003,김태중,목18:00~20:00(마루빌(인재개발원3층))| 목20:00~22:00(마루빌(인재개발원3층))
과학기술과 지식재산,1,전공(기초),연계대학 연계전공학과 지식재산융합전공,3/3/0,1726-0001,김태훈,
지식재산 법과 제도,1,전공(기초),연계대학 연계전공학과 지식재산융합전공,3/3/0,1726-0004,김태만,
지식재산과 창업,2,전공(심화),연계대학 연계전공학과 지식재산융합전공,3/3/0,1726-0002,김태훈,
지식재산 캡스톤디자인 1,2,전공(심화),연계대학 연계전공학과 지식재산융합전공,3/2/2,1726-0003,김영아,
아이디어와 지식재산,2,전공(핵심),연계대학 연계전공학과 지식재산융합전공,3/3/0,1757-2001,김영아,수18:00~21:00(공1338)
K-culture와 상표,2,전공(심화),연계대학 연계전공학과 지식재산융합전공,3/3/0,1757-2002,김태만,화18:00~21:00(글로벌301)
지식재산 디자인 씽킹,3,전공(핵심),연계대학 연계전공학과 지식재산융합전공,3/3/0,1534-3001,박기문,금15:00~18:00(공2332)
지식재산 연구개발의 이해,3,전공(핵심),연계대학 연계전공학과 지식재산융합전공,3/3/0,1743-3001,김태만,금18:00~21:00(공1338)
지식재산 활용의 이해,4,전공(심화),연계대학 연계전공학과 지식재산융합전공,3/3/0,1742-4001,김영아,수14:00~17:00(공1338)
지식재산 서비스 실무,4,전공(심화),연계대학 연계전공학과 지식재산융합전공,3/2/2,1742-4003,박기문,화13:00~15:00(공2332)| 화15:00~17:00(공2332)
서양윤리사상,3,전공(심화),연계대학 연계전공학과 도덕.윤리,3/3/0,1512-3002,임윤정,월19:00~21:00(인0123)| 목19:00~20:00(인0123)
한국윤리사상,3,전공(심화),연계대학 연계전공학과 도덕.윤리,3/3/0,1512-3003,김창경,목17:00~19:00(인0130)| 금16:00~17:00(인0130)
시민교육론,3,전공(심화),연계대학 연계전공학과 도덕.윤리,3/3/0,1512-3004,김승영,화19:00~21:00(인0130)| 목16:00~17:00(인0130)
도덕윤리 논술,3,전공(심화),연계대학 연계전공학과 도덕.윤리,2/2/0,1512-3005,김창경,금19:00~21:00(인0130)
통일교육론,4,전공(심화),연계대학 연계전공학과 도덕.윤리,3/3/0,1512-4001,허현숙,월17:00~19:00(인0503)| 화18:00~19:00(인0130)
직업윤리와지구공동체윤리,4,전공(심화),연계대학 연계전공학과 도덕.윤리,3/3/0,1512-4002,조지선,월19:00~20:00(인0503)| 수18:00~20:00(인0503)
도덕윤리 교수법 및 평가,4,전공(심화),연계대학 연계전공학과 도덕.윤리,2/2/0,1512-4005,김창경,금17:00~19:00(인0130)
JAVA 프로그래밍기초,2,전공(기초),연계대학 연계전공학과 감성인지소프트웨어,3/2/2,1215-2006,노창배,수18:00~20:00(공5413)| 수20:00~22:00(공5413)
자료구조,3,전공(기초),연계대학 연계전공학과 감성인지소프트웨어,3/2/2,1214-2017,홍인숙,화18:00~20:00(사강401)| 목18:00~20:00(사강401)
데이터베이스,3,전공(핵심),연계대학 연계전공학과 감성인지소프트웨어,3/2/2,1214-3033,김일숙,월15:00~17:00(공5416)| 월17:00~19:00(공5416)
고급 JAVA 프로그래밍,3,전공(기초),연계대학 연계전공학과 감성인지소프트웨어,3/2/2,1514-3002,홍인숙,수18:00~20:00(사강401)| 목20:00~22:00(사강401)
알고리즘,4,전공(심화),연계대학 연계전공학과 감성인지소프트웨어,3/2/2,1214-2007,김일숙,화20:00~22:00(사강401)| 수20:00~22:00(사강401)
정신장애와가상현실치료,4,전공(심화),연계대학 연계전공학과 감성인지소프트웨어,3/3/0,1514-4001,노수림,화10:30~12:00(사강405)| 목10:30~12:00(사강405)
SW종합설계,4,전공(심화),연계대학 연계전공학과 감성인지소프트웨어,3/3/0,1514-4002,이홍로,월18:00~21:00(공5413)
영농창업입문,2,전공(기초),연계대학 연계전공학과 과채·특용작물영농창업,2/2/0,1517-2002,김영아,금10:00~12:00(농1401)
양액재배실습,2,전공(핵심),연계대학 연계전공학과 과채·특용작물영농창업,2/0/4,1517-2005,박종석,금14:00~18:00(농1314)
토양환경미생물이용실습,3,,연계대학 연계전공학과 과채·특용작물영농창업,2/0/4,1517-3002,오택근,금09:00~13:00(농3408)
영농창업실무,4,전공(심화),연계대학 연계전공학과 과채·특용작물영농창업,3/2/2,1517-4001,오상근,목09:00~11:00(농1401)| 목11:00~13:00(농1401)
수확후품질관리실습,4,전공(심화),연계대학 연계전공학과 과채·특용작물영농창업,3/2/2,1517-4006,천종필,목14:00~16:00(농1314)| 목16:00~18:00(농1314)
NCS 실무기초,2,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1528-2006,장은숙,월09:00~12:00(사강201)
NCS 실무실습,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/2/2,1347-3022,장은숙,월13:00~15:00(사강201)| 월15:00~17:00(사강201)
산학연연계세미나,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1528-3006,이주욱,화14:00~17:00(사강201)
컴퓨터활용실무,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1528-3014,한희원,
ESG와 지속가능발전,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1528-3020,박범진,
노동문제와 노동정책,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1528-3021,최인이,수15:00~18:00(사강405)
사회지향적 마케팅,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1609-3001,,
ESG 그린경영 사례,3,전공(핵심),연계대학 연계전공학과 과학기술·행정융복합,3/3/0,1609-3002,,
경제학원론,1,전공(핵심),연계대학 연계전공학과 스마트이트레이드,3/3/0,1182-1003,백운,화15:00~17:00(경N105)| 목15:00~16:00(경N105)
무역학원론,1,전공(핵심),연계대학 연계전공학과 스마트이트레이드,3/3/0,1183-1001,황수정,월12:00~15:00(경N105)
무역실무,2,전공(핵심),연계대학 연계전공학과 스마트이트레이드,3/3/0,1183-2001,정재은,월13:00~14:00(경N316)| 수13:00~15:00(경N316)
회계원리,1,전공(기초),연계대학 연계전공학과 아시아비즈니스,3/3/0,1182-1004,노준화,월16:00~17:00(경N316)| 수15:00~17:00(경N316)
회계원리,1,전공(기초),연계대학 연계전공학과 아시아비즈니스,3/3/0,1182-1004,최동준,화13:00~15:00(경N216)| 목11:00~12:00(경N103)
무역학원론,1,전공(기초),연계대학 연계전공학과 아시아비즈니스,3/3/0,1183-1001,임소선,월14:00~16:00(경N316)| 목14:00~15:00(경N316)
글로벌매너와에티켓,1,전공(핵심),연계대학 연계전공학과 아시아비즈니스,3/3/0,1510-1001,이근석,금10:00~13:00(인0465)
거시경제학,2,전공(핵심),연계대학 연계전공학과 아시아비즈니스,3/3/0,1181-2003,심완섭,목14:00~17:00(경N313)
무역실무,2,전공(핵심),연계대학 연계전공학과 아시아비즈니스,3/3/0,1183-2001,박용안,월10:00~12:00(경N316)| 수09:00~10:00(경N316)
동남아지역언어와역사,2,전공(핵심),연계대학 연계전공학과 아시아비즈니스,3/3/0,1510-2002,이영선,화09:00~10:00(인0109)| 목15:00~17:00(인0109)
무역중국어,4,전공(심화),연계대학 연계전공학과 아시아비즈니스,3/3/0,1105-4002,성나영,월10:30~12:00(인0135)| 화12:00~13:30(인0135)
한국경제론,4,전공(심화),연계대학 연계전공학과 아시아비즈니스,3/3/0,1181-4001,정세은,월13:00~15:00(경S345)| 화13:00~14:00(경N313)
자료구조와 알고리즘,3,전공(핵심),연계대학 연계전공학과 언어정보처리,3/2/2,1215-3009,,
언어정보처리개론,3,전공(핵심),연계대학 연계전공학과 언어정보처리,3/3/0,1520-3001,노용균,수09:00~10:00(공3306)| 목10:00~12:00(인0246)
웹프로그래밍,4,전공(핵심),연계대학 연계전공학과 언어정보처리,3/2/2,1214-2013,,
SW 종합설계 프로젝트,4,전공(심화),연계대학 연계전공학과 언어정보처리,3/3/0,1215-4003,,
모바일프로그래밍,4,전공(핵심),연계대학 연계전공학과 언어정보처리,3/2/2,1514-3001,,
디지털콘텐츠제작실습기초,2,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/2/2,1313-2014,김명미,금09:00~11:00(예디자3208)| 금11:00~13:00(예디자3208)
인문콘텐츠입문,2,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-2004,이형권,월13:00~15:00(인0254)| 수10:00~11:00(인0254)
고고학과문화콘텐츠,2,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-2008,박양진,수15:00~18:00(인0254)
트랜스미디어 스토리텔링,2,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-2009,윤석진,월15:00~17:00(인0254)| 화17:00~18:00(인0254)
온라인 영상 플랫폼과 기획론,2,전공(심화),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-2011,오수연,화10:00~12:00(인0254)| 수09:00~10:00(인0254)
콘텐츠편집디자인실습,3,전공(심화),연계대학 연계전공학과 인문콘텐츠,3/2/2,1313-3011,김민아,목09:00~11:00(예디자3208)| 목11:00~13:00(예디자3208)
대중매체와언어,3,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-3003,이윤희,월09:00~10:00(인0254)| 목13:00~15:00(인0254)
디지털문학,3,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-3010,서경숙,월17:00~18:00(인0254)| 화13:00~15:00(인0254)
대전학과 디지털콘텐츠,3,전공(핵심),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-3011,이영자,월10:00~12:00(인0254)| 목17:00~18:00(인0254)
영상시와 콘텐츠 제작,4,전공(심화),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-4010,오수연,수12:00~13:00(인0254)| 금10:00~12:00(인0254)
메타버스와 디지털 스토리텔링,4,전공(심화),연계대학 연계전공학과 인문콘텐츠,3/3/0,1509-4012,서경숙,월12:00~13:00(인0254)| 수13:00~15:00(인0254)
정보아키텍처,3,전공(기초),연계대학 연계전공학과 지식생태,3/3/0,1519-3001,이영인,목14:30~17:30(사0111)
전산열유체기초,3,전공(기초),연계대학 연계전공학과 환경ICT,3/3/0,1516-3001,김혜숙,수12:00~15:00(공3307)
데이터분석과프로그래밍,3,전공(핵심),마이크로디그리과정 마이크로디그리과정 디지털물산업 기본과정,3/2/2,1717-0003,변윤선,화15:00~17:00(공1335)| 화17:00~19:00(공1335)
물관리공학개론,3,전공(핵심),마이크로디그리과정 마이크로디그리과정 디지털물산업 기본과정,3/3/0,1717-0004,,월09:00~10:00(공1335)| 금16:00~18:00(공1335)
산업 인공지능 및 실습1,3,전공(심화),마이크로디그리과정 마이크로디그리과정 디지털물산업 심화과정,3/2/2,1718-0001,유용균,화19:00~21:00(공1335)| 화21:00~23:00(공1335)
스마트 물관리공학,4,전공(심화),마이크로디그리과정 마이크로디그리과정 디지털물산업 심화과정,3/3/0,1718-0003,서동일,월10:30~12:00(공3426)| 수10:30~12:00(공3426)
스마트농업 인공지능 및 코딩,2,일반선택,마이크로디그리과정 마이크로디그리과정 스마트농업 실무인재 양성과정,3/3/0,1720-0003,임성수,월16:00~17:00(농2118)| 화09:00~11:00(농2118)
반도체소재구조분석,3,전공(심화),마이크로디그리과정 마이크로디그리과정 반도체소재분석과정,3/3/0,1719-0002,김영헌,목09:00~10:30(분2467)| 금10:30~12:00(분2467)
반도체소재물성분석,3,전공(심화),마이크로디그리과정 마이크로디그리과정 반도체소재분석과정,3/3/0,1719-0003,배제현,목10:30~12:00(분2467)| 금09:00~10:30(분2467)
하이브리드태양광기술,3,일반선택,마이크로디그리과정 마이크로디그리과정 에너지공정공학과정,3/3/0,1722-0003,임종철,월16:30~18:00(산학연0603)| 화15:00~16:30(산학연0603)
나노에너지기술,3,일반선택,마이크로디그리과정 마이크로디그리과정 에너지공정공학과정,3/3/0,1722-3001,이규복,월13:30~15:00(산학연0603)| 수10:30~12:00(산학연0603)
그린연료기술,3,일반선택,마이크로디그리과정 마이크로디그리과정 에너지소재공학과정,3/3/0,1723-0005,조철희,월15:00~16:30(산학연0603)| 목16:30~18:00(산학연0603)
에너지소재전산설계기술,3,일반선택,마이크로디그리과정 마이크로디그리과정 에너지소재공학과정,3/3/0,1723-3001,신혜영,화13:30~15:00(산학연0603)| 목09:00~10:30(산학연0603)
센서와 에너지 소재 진단,3,전공(핵심),마이크로디그리과정 마이크로디그리과정 센서와 에너지 전기화학분석 과정,3/3/0,1744-3001,정범균,목13:30~15:00(분2467)| 금13:30~15:00(분2467)
센서와 에너지 소자 검측,3,전공(핵심),마이크로디그리과정 마이크로디그리과정 센서와 에너지 전기화학분석 과정,3/3/0,1744-3002,배제현,수13:30~15:00(분2459)| 목15:00~16:30(분2467)
이차전지 융합공학 기술,3,일반선택,마이크로디그리과정 마이크로디그리과정 이차전지기술 특화 첨단과정,3/3/0,1745-3001,송승완,월16:30~19:30(공1335)
말소리장애 진단과 치료를 위한 음성 프로그래밍,4,전공(심화),마이크로디그리과정 마이크로디그리과정 디지털 활용 의사소통장애 전문가 과정,3/3/0,1108-4014,성철재,수18:00~19:00(인0102)| 금18:00~20:00(인0102)
언어 커뮤니케이션 장애 분석을 위한 파이썬 프로그래밍,4,전공(심화),마이크로디그리과정 마이크로디그리과정 디지털 활용 의사소통장애 전문가 과정,3/3/0,1108-4015,류병래,월15:00~17:00(인0246)| 수14:00~15:00(인0246)
디지털 시대의 언어와 언어학,3,전공(핵심),마이크로디그리과정 마이크로디그리과정 디지털 의사소통 전문가 과정,3/3/0,1108-1009,윤수연,화18:00~20:00(인0128)| 금13:00~14:00(인0128)
디지털 커뮤니케이션 분석과 언어변화,4,전공(심화),마이크로디그리과정 마이크로디그리과정 디지털 의사소통 전문가 과정,3/3/0,1102-4013,최재훈,화17:00~18:00(인0456)| 금11:00~13:00(인0456)
인공지능과 자연언어처리 개론,3,전공(핵심),마이크로디그리과정 마이크로디그리과정 자연언어 이해 인공지능 전문가 과정,3/3/0,1108-2016,이공주,화20:00~21:00(공3306)| 목19:00~21:00(공3306)
반도체 산학특강1,4,전공(심화),마이크로디그리과정 마이크로디그리과정 반도체 소재부품장비 기본 과정,3/3/0,1535-4001,홍윤희,목19:00~22:00(공동107)
반도체 소재·공정 융합 개론,4,전공(핵심),마이크로디그리과정 마이크로디그리과정 반도체 소재부품장비 기본 과정,3/3/0,1535-4003,이종원,화19:00~22:00(공동107)
생물학으로 읽는 질병,2,전공(핵심),마이크로디그리과정 마이크로디그리과정 질병분석 과정,3/3/0,1756-2001,이주용,목15:00~16:30(분2459)| 금15:00~16:30(분2459)
뇌과학 분석의 이해,3,전공(심화),마이크로디그리과정 마이크로디그리과정 질병분석 과정,3/3/0,1756-3001,이주용,목16:30~18:00(분2459)| 금16:30~18:00(분2459)
행정법 기초개념의 이해,1,일반선택,마이크로디그리과정 마이크로디그리과정 행정법 융합인재 양성과정,3/3/0,1755-1001,서보국,수12:00~15:00(법106)
행정기본법의 이해,2,일반선택,마이크로디그리과정 마이크로디그리과정 행정법 융합인재 양성과정,3/3/0,1755-2001,우미형,월15:00~18:00(법106)
방위산업의 이해,1,일반선택,마이크로디그리과정 마이크로디그리과정 방위산업과정,3/3/0,1708-0001,길병옥,월13:30~15:00(전산1106)| 목16:30~18:00(전산1106)
방위사업과 의사결정,1,일반선택,마이크로디그리과정 마이크로디그리과정 방위산업과정,3/3/0,1708-0002,설현주,화16:30~18:00(자2119)| 목15:00~16:30(자2119)
산업보안학,1,일반선택,마이크로디그리과정 마이크로디그리과정 산업보안과정,3/3/0,1710-0001,남궁록,화15:00~18:00(교211)
산업보안 관련법의 이해,1,일반선택,마이크로디그리과정 마이크로디그리과정 산업보안과정,3/3/0,1710-0002,김현우,수15:00~18:00(교211)
차세대전지기술,3,일반선택,마이크로디그리과정 마이크로디그리과정 차세대에너지공학과정,3/3/0,1715-0004,김성수,월09:00~10:30(산학연0603)| 목10:30~12:00(산학연0603)
차세대에너지기술개론,3,일반선택,마이크로디그리과정 마이크로디그리과정 차세대에너지공학과정,3/3/0,1715-0005,장효식,월10:30~12:00(산학연0603)| 수09:00~10:30(산학연0603)
모빌리티 메카트로닉스개론,3,전공(핵심),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/3/0,1608-3001,,
모빌리티 에너지공학개론,3,전공(핵심),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/3/0,1608-3002,,
모빌리티 역학,3,전공(핵심),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/3/0,1608-3003,,
스마트소재개론,3,전공(핵심),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/3/0,1608-3004,,
친환경모빌리티 신기술 세미나Ⅰ,3,전공(핵심),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,2/2/0,1608-3011,,
모빌리티 CAE,4,전공(심화),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/3/0,1608-4003,,
친환경 연료전지공학,4,전공(심화),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/3/0,1608-4009,,
모빌리티 캡스톤디자인 Ⅰ,4,전공(기초),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/0/6,1608-4010,김용훈,화19:00~23:00(공4108)
모빌리티 캡스톤디자인 Ⅰ,4,전공(기초),DSC공유대학 모빌리티소재부품장비융합학부 친환경동력시스템,3/0/6,1608-4010,,
